#,PSRJ,P0,P1,DM,BINARY,DIST,DIST_DM,BSURF,
653,J1437-5959,0.061696,8.59e-15,549.60,*,8.543,8.543,7.37e+11,
654,J1437-6146,0.467616,6.33e-15,200.50,*,4.253,4.253,1.74e+12,
655,J1440-6344,0.459607,1.12e-15,124.20,*,3.446,3.446,7.26e+11,
656,J1441-6137,1.175840,3.60e-16,166.00,*,3.882,3.882,6.58e+11,
657,J1443-5122,0.732061,3.46e-16,87.17,*,2.979,2.979,5.09e+11,
658,J1444-5941,2.760228,8.23e-15,177.10,*,3.844,3.844,4.82e+12,
659,J1444-6026,4.758576,1.85e-14,367.70,*,5.823,5.823,9.51e+12,
660,J1447-5757,0.158730,1.17e-14,*,*,*,*,1.38e+12,
661,J1449-5846,0.463330,8.60e-17,216.60,*,4.169,4.169,2.02e+11,
662,J1452-5851,0.386643,5.07e-14,260.50,*,4.504,4.504,4.48e+12,
663,J1452-6036,0.154992,1.45e-15,349.52,*,6.148,6.148,4.80e+11,
664,J1453-6413,0.179487,2.74e-15,71.19,*,2.800,1.434,7.10e+11,
665,J1454-5846,0.045249,8.17e-19,116.09,BT,2.988,2.988,6.15e+09,
666,J1456-6843,0.263377,9.89e-17,8.63,*,0.430,0.437,1.63e+11,
667,J1457-5122,1.748308,5.30e-15,37.00,*,0.994,0.994,3.08e+12,
668,J1457-5900,1.498637,3.66e-15,175.00,*,3.738,3.738,2.37e+12,
669,J1457-5902,0.390739,1.23e-14,477.20,*,6.366,6.366,2.22e+12,
670,J1459-6053,0.103151,2.53e-14,*,*,1.840,*,1.63e+12,
671,J1501-0046,0.464037,2.39e-16,22.26,*,2.120,2.120,3.37e+11,
672,J1501-5637,0.782949,1.70e-16,258.00,*,4.938,4.938,3.69e+11,
673,J1502+4653,1.752508,1.72e-16,26.60,*,25.000,25.000,5.56e+11,
674,J1502-5653,0.535506,1.83e-15,193.39,*,3.955,3.955,1.00e+12,
675,J1502-5828,0.668105,3.64e-14,584.00,*,7.092,7.092,4.99e+12,
676,J1502-6128,0.842104,1.36e-15,257.81,*,5.226,5.226,1.08e+12,
677,J1503+2111,3.314002,1.40e-16,3.26,*,0.244,0.244,6.89e+11,
678,J1504-5621,0.412985,5.53e-15,148.60,*,3.548,3.548,1.53e+12,
679,J1504-5659,1.672372,1.43e-15,454.20,*,11.275,11.275,1.56e+12,
680,J1506-5158,0.840739,6.37e-15,61.00,*,1.384,1.384,2.34e+12,
681,J1507-4352,0.286759,1.58e-15,49.12,*,1.416,1.416,6.82e+11,
682,J1507-5800,0.897254,2.60e-16,429.50,*,5.893,5.893,4.89e+11,
683,J1507-6640,0.355656,1.15e-15,130.22,*,4.819,4.819,6.48e+11,
684,J1509+5531,0.739682,5.00e-15,19.62,*,2.100,2.073,1.95e+12,
685,J1509-5850,0.088925,9.17e-15,142.10,*,3.371,3.371,9.14e+11,
686,J1509-6015,0.339038,2.12e-15,423.60,*,11.090,11.090,8.58e+11,
687,J1510-4422,0.943871,6.10e-16,84.00,*,4.128,4.128,7.68e+11,
688,J1511-5414,0.200384,4.85e-16,84.52,*,2.419,2.419,3.15e+11,
689,J1511-5835,0.301511,3.44e-16,329.40,*,5.122,5.122,3.26e+11,
690,J1512-5431,2.040533,1.96e-15,218.75,*,5.115,5.115,2.02e+12,
691,J1512-5759,0.128699,6.85e-15,627.47,*,6.835,6.835,9.50e+11,
692,J1513-5739,0.973478,2.75e-14,470.89,*,5.897,5.897,5.24e+12,
693,J1513-5908,0.151582,1.53e-12,255.24,*,4.400,4.487,1.54e+13,
694,J1513-5946,1.046117,8.53e-15,171.70,*,3.757,3.757,3.02e+12,
695,J1513-6013,1.958737,1.37e-15,322.70,*,7.927,7.927,1.66e+12,
696,J1514-4834,0.454840,9.26e-16,49.36,*,1.195,1.195,6.57e+11,
697,J1514-5316,0.296279,1.60e-18,27.10,*,0.850,0.850,2.20e+10,
698,J1514-5925,0.148797,2.88e-15,192.51,*,3.906,3.906,6.62e+11,
699,J1515-5720,0.286648,6.09e-15,480.60,*,6.069,6.069,1.34e+12,
700,J1517-4356,0.650837,2.15e-16,87.76,*,4.478,4.478,3.79e+11,
701,J1517-4636,0.886613,2.10e-15,127.01,*,7.674,7.674,1.38e+12,
702,J1518+4904,0.040935,2.72e-20,11.61,DD,0.806,0.964,1.07e+09,
703,J1518-0627,0.794997,4.18e-16,27.96,*,2.679,2.679,5.83e+11,
704,J1518-3952,0.499196,2.37e-16,102.52,*,12.418,12.418,3.48e+11,
705,J1518-5415,0.214925,4.06e-17,167.20,*,3.768,3.768,9.45e+10,
706,J1519-5734,0.518758,4.27e-15,654.70,*,6.799,6.799,1.51e+12,
707,J1519-6106,2.154307,8.37e-15,221.00,*,5.047,5.047,4.30e+12,
708,J1519-6308,1.254052,6.00e-15,249.82,*,12.342,12.342,2.78e+12,
709,J1522-5525,1.389605,3.30e-15,79.00,*,2.000,2.000,2.17e+12,
710,J1522-5735,0.102136,3.12e-14,*,*,*,*,1.81e+12,
711,J1522-5829,0.395355,2.06e-15,199.70,*,3.880,3.880,9.13e+11,
712,J1523-3235,1.504835,9.53e-16,72.30,*,7.997,7.997,1.21e+12,
713,J1524-5625,0.078244,3.90e-14,152.05,*,3.377,3.377,1.77e+12,
714,J1524-5706,1.116174,3.56e-13,832.00,*,7.435,7.435,2.02e+13,
715,J1524-5819,0.961043,1.26e-13,406.60,*,7.546,7.546,1.11e+13,
716,J1525-5417,1.011694,1.62e-14,235.00,*,4.880,4.880,4.09e+12,
717,J1525-5523,0.355156,8.96e-18,124.70,*,3.132,3.132,5.71e+10,
718,J1525-5605,0.280349,1.16e-16,333.50,*,5.078,5.078,1.82e+11,
719,J1526-5633,0.301888,1.23e-16,329.00,*,4.796,4.796,1.95e+11,
720,J1527-3931,2.417605,1.91e-14,48.80,*,1.691,1.691,6.87e+12,
721,J1527-5552,1.048720,1.13e-14,370.05,*,5.381,5.381,3.48e+12,
722,J1528-3146,0.060822,2.49e-19,18.16,DD,0.774,0.774,3.93e+09,
723,J1528-4109,0.526556,4.00e-16,89.31,*,5.423,5.423,4.64e+11,
724,J1528-5547,3.467302,7.75e-15,269.00,*,4.471,4.471,5.25e+12,
725,J1528-5838,0.355687,2.48e-14,*,*,*,*,3.00e+12,
726,J1529-5355,0.891265,8.10e-16,292.00,*,6.240,6.240,8.60e+11,
727,J1529-5611,0.822249,4.10e-15,149.00,*,3.321,3.321,1.86e+12,
728,J1530-5327,0.278960,4.68e-15,48.99,*,1.113,1.113,1.16e+12,
729,J1530-6343,0.910320,8.26e-16,206.43,*,11.509,11.509,8.78e+11,
730,J1531-4012,0.356849,9.60e-17,106.60,*,9.528,9.528,1.87e+11,
731,J1531-5610,0.084211,1.38e-14,110.71,*,2.847,2.847,1.09e+12,
732,J1532+2745,1.124836,7.80e-16,14.69,*,1.490,1.321,9.48e+11,
733,J1532-5308,0.443825,6.50e-17,181.00,*,3.825,3.825,1.72e+11,
734,J1534-4428,1.221426,1.83e-16,137.46,*,9.680,9.680,4.78e+11,
735,J1534-5334,1.368882,1.43e-15,25.27,*,0.816,0.816,1.42e+12,
736,J1534-5405,0.289690,1.55e-15,190.60,*,3.745,3.745,6.79e+11,
737,J1535-4114,0.432869,4.07e-15,66.14,*,2.770,2.770,1.34e+12,
738,J1535-4415,0.468402,4.05e-17,110.70,*,5.818,5.818,1.39e+11,
739,J1535-5450,0.566734,1.43e-14,219.80,*,3.946,3.946,2.88e+12,
740,J1535-5848,0.307179,2.72e-15,107.40,*,2.977,2.977,9.24e+11,
741,J1536-3602,1.319759,7.90e-16,86.40,*,7.512,7.512,1.03e+12,
742,J1536-5433,0.881438,1.91e-15,147.50,*,3.306,3.306,1.31e+12,
743,J1536-5907,0.557841,1.37e-15,316.00,*,8.135,8.135,8.83e+11,
744,J1537+1155,0.037904,2.42e-18,11.62,DD,0.935,0.877,9.70e+09,
745,J1537-4912,0.301312,1.94e-15,69.79,*,2.055,2.055,7.74e+11,
746,J1537-5153,1.528124,4.17e-15,93.00,*,2.745,2.745,2.56e+12,
747,J1537-5645,0.430464,2.78e-15,707.00,*,8.465,8.465,1.11e+12,
748,J1538+2345,3.449385,6.89e-15,14.91,*,1.313,1.313,4.93e+12,
749,J1538-5438,0.276726,1.42e-15,136.90,*,3.179,3.179,6.35e+11,
750,J1538-5519,0.395731,4.10e-17,611.00,*,5.940,5.940,1.29e+11,
751,J1538-5551,0.104676,3.21e-15,602.67,*,5.978,5.978,5.86e+11,
752,J1538-5621,1.908494,7.31e-15,150.00,*,3.313,3.313,3.78e+12,
753,J1538-5638,0.843980,7.12e-15,546.00,*,7.042,7.042,2.48e+12,
754,J1538-5732,0.341216,4.53e-15,151.44,*,3.417,3.417,1.26e+12,
755,J1538-5750,0.506568,4.20e-17,91.00,*,2.519,2.519,1.48e+11,
756,J1539-4828,1.272842,1.27e-15,117.00,*,3.465,3.465,1.29e+12,
757,J1539-5521,1.004958,7.28e-16,380.00,*,4.912,4.912,8.66e+11,
758,J1539-5626,0.243395,4.85e-15,175.97,*,3.537,3.537,1.10e+12,
759,J1539-6322,1.630846,2.02e-16,163.50,*,7.094,7.094,5.80e+11,
760,J1540-5736,0.612916,4.21e-16,304.50,*,6.349,6.349,5.14e+11,
761,J1541+4703,0.277701,2.10e-16,19.40,*,2.033,2.033,2.44e+11,
762,J1541-5535,0.295838,7.50e-14,426.10,*,5.161,5.161,4.77e+12,
763,J1542-5034,0.599249,4.04e-15,89.57,*,2.700,2.700,1.57e+12,
764,J1542-5133,1.783865,5.89e-16,186.00,*,4.061,4.061,1.04e+12,
765,J1542-5303,1.207621,7.78e-14,265.58,*,5.370,5.370,9.81e+12,
766,J1543+0929,0.748449,4.32e-16,34.98,*,5.900,25.000,5.76e+11,
767,J1543-0620,0.709065,8.80e-16,18.53,*,3.000,1.134,7.99e+11,
768,J1543-5013,0.644255,1.01e-14,211.00,*,5.809,5.809,2.59e+12,
769,J1543-5459,0.377138,5.21e-14,344.99,*,4.658,4.658,4.49e+12,
770,J1544-0713,0.484130,1.14e-15,30.73,*,2.633,2.633,7.51e+11,
771,J1544-5308,0.178554,6.03e-17,35.21,*,0.933,0.933,1.05e+11,
772,J1546-5302,0.580848,1.18e-14,286.54,*,5.327,5.327,2.65e+12,
773,J1547-0944,1.576925,2.94e-15,37.42,*,3.757,3.757,2.18e+12,
774,J1547-5750,0.647198,2.56e-17,148.00,*,3.464,3.464,1.30e+11,
775,J1547-5839,0.242191,5.91e-16,223.51,*,5.733,5.733,3.83e+11,
776,J1548-4821,0.145655,1.15e-19,125.65,*,3.433,3.433,4.14e+09,
777,J1548-4927,0.602741,4.05e-15,140.79,*,3.510,3.510,1.58e+12,
778,J1548-5607,0.170942,1.07e-14,314.39,*,5.699,5.699,1.37e+12,
779,J1549+2113,1.262471,8.54e-16,24.05,*,3.035,3.035,1.05e+12,
780,J1549-4848,0.288355,1.41e-14,55.98,*,1.316,1.316,2.04e+12,
781,J1549-5722,0.497772,4.70e-17,102.00,*,2.858,2.858,1.55e+11,
782,J1550-5242,0.749671,1.78e-14,337.66,*,5.644,5.644,3.69e+12,
783,J1550-5317,1.421124,9.35e-16,600.00,*,6.933,6.933,1.17e+12,
784,J1550-5418,2.069833,2.32e-11,697.00,*,4.000,5.888,2.22e+14,
785,J1551-4424,0.674060,1.84e-16,66.33,*,2.227,2.227,3.56e+11,
786,J1551-5310,0.453448,1.95e-13,491.60,*,5.878,5.878,9.51e+12,
787,J1551-6214,0.198839,2.28e-17,123.56,*,3.958,3.958,6.81e+10,
788,J1553-5456,1.081347,1.57e-14,210.00,*,3.786,3.786,4.17e+12,
789,J1554-5209,0.125230,2.29e-15,130.80,*,3.079,3.079,5.42e+11,
790,J1554-5512,3.418039,3.12e-14,450.00,*,6.396,6.396,1.04e+13,
791,J1555-0515,0.975410,2.05e-15,23.46,*,1.548,1.548,1.43e+12,
792,J1555-2341,0.532578,6.94e-16,52.24,*,3.780,3.780,6.15e+11,
793,J1555-3134,0.518110,6.22e-17,73.05,*,5.299,5.299,1.82e+11,
794,J1556-5358,0.994681,1.04e-14,436.00,*,5.020,5.020,3.26e+12,
795,J1557-4258,0.329187,3.30e-16,144.50,*,8.614,8.614,3.34e+11,
796,J1557-5151,0.408155,7.54e-17,464.00,*,6.484,6.484,1.78e+11,
797,J1558-5419,0.594575,6.04e-15,657.00,*,7.431,7.431,1.92e+12,
798,J1558-5756,1.122342,1.86e-13,127.80,*,3.325,3.325,1.46e+13,
799,J1559-4438,0.257057,1.02e-15,56.04,*,2.300,1.479,5.18e+11,
800,J1559-5545,0.957267,1.99e-14,212.90,*,4.133,4.133,4.42e+12,
801,J1600-5044,0.192606,5.06e-15,262.79,*,6.900,5.134,9.99e+11,
802,J1600-5751,0.194456,2.13e-15,176.51,*,4.182,4.182,6.51e+11,
803,J1600-5916,1.247666,8.87e-16,177.00,*,5.657,5.657,1.06e+12,
804,J1601-5244,2.559357,7.21e-16,273.00,*,4.088,4.088,1.37e+12,
805,J1601-5335,0.288479,6.23e-14,195.20,*,3.576,3.576,4.29e+12,
806,J1602-4957,0.819990,1.59e-14,319.00,*,6.030,6.030,3.66e+12,
807,J1602-5100,0.864297,6.94e-14,170.81,*,8.000,3.405,7.84e+12,
808,J1603-2531,0.283071,1.59e-15,53.76,*,3.412,3.412,6.80e+11,
809,J1603-2712,0.778316,3.01e-15,45.98,*,2.285,2.285,1.55e+12,
810,J1603-3539,0.141909,1.24e-16,78.42,*,4.204,4.204,1.34e+11,
811,J1603-5312,0.839221,4.96e-14,142.00,*,3.113,3.113,6.53e+12,
812,J1603-5657,0.496080,2.78e-15,264.18,*,6.735,6.735,1.19e+12,
813,J1604-0057,1.675869,9.27e-16,32.30,*,3.085,3.085,1.26e+12,
814,J1604-3142,0.883890,2.65e-17,58.30,*,2.902,2.902,1.55e+11,
815,J1604-4718,0.527466,4.96e-15,55.10,*,1.307,1.307,1.64e+12,
816,J1604-4909,0.327419,1.02e-15,140.75,*,3.224,3.224,5.84e+11,
817,J1604-7203,0.341403,8.40e-17,54.37,*,1.595,1.595,1.71e+11,
818,J1605-5215,1.013609,4.75e-15,532.00,*,5.087,5.087,2.22e+12,
819,J1605-5257,0.658013,2.56e-16,34.79,*,0.921,0.921,4.15e+11,
820,J1607-0032,0.421816,3.06e-16,10.68,*,1.050,0.688,3.64e+11,
821,J1607-5140,0.342723,2.54e-15,533.00,*,5.117,5.117,9.44e+11,
822,J1607-6449,0.298116,2.49e-17,89.39,*,3.444,3.444,8.72e+10,
823,J1609-1930,1.557917,5.09e-16,37.00,*,1.791,1.791,9.01e+11,
824,J1609-4616,0.249609,5.00e-16,150.01,*,3.744,3.744,3.57e+11,
825,J1609-5158,1.279402,1.30e-14,1069.00,*,6.477,6.477,4.12e+12,
826,J1610-1322,1.018393,2.30e-16,49.13,*,3.244,3.244,4.90e+11,
827,J1610-5006,0.481119,1.36e-14,410.00,*,5.614,5.614,2.59e+12,
828,J1610-5303,0.786468,2.62e-15,380.10,*,5.353,5.353,1.45e+12,
829,J1611-0114,2.593726,4.08e-15,27.70,*,2.094,2.094,3.29e+12,
830,J1611-4811,1.296850,1.95e-15,221.00,*,4.909,4.909,1.61e+12,
831,J1611-4949,0.666438,5.31e-16,555.71,*,7.225,7.225,6.02e+11,
832,J1611-5209,0.182495,5.17e-15,127.26,*,2.948,2.948,9.83e+11,
833,J1611-5847,0.354550,2.01e-18,79.90,*,2.479,2.479,2.70e+10,
834,J1612+2008,0.426646,3.73e-17,19.51,*,1.740,1.740,1.28e+11,
835,J1612-2408,0.923834,1.57e-15,49.20,*,2.770,2.770,1.22e+12,
836,J1612-5022,1.368283,3.40e-17,248.70,*,3.994,3.994,2.18e+11,
837,J1612-5136,0.483311,3.78e-15,1173.00,*,6.690,6.690,1.37e+12,
838,J1612-5805,0.615521,9.34e-16,170.98,*,5.526,5.526,7.67e+11,
839,J1613-4714,0.382377,6.34e-16,160.17,*,3.503,3.503,4.98e+11,
840,J1613-5211,0.457516,1.92e-14,361.87,*,4.724,4.724,3.00e+12,
841,J1613-5234,0.655221,6.63e-15,624.00,*,7.421,7.421,2.11e+12,
842,J1614+0737,1.206803,2.36e-15,21.39,*,1.663,1.663,1.71e+12,
843,J1614-2318,0.033504,5.15e-20,52.43,BT,3.229,3.229,1.33e+09,
844,J1614-3846,0.464106,9.20e-16,111.00,*,5.637,5.637,6.61e+11,
845,J1614-3937,0.407292,1.59e-16,151.90,*,10.551,10.551,2.57e+11,
846,J1614-5048,0.231694,4.95e-13,582.40,*,5.148,5.148,1.08e+13,
847,J1614-5144,1.534008,7.44e-15,748.00,*,6.127,6.127,3.42e+12,
848,J1614-5402,0.572592,2.90e-17,300.00,*,5.829,5.829,1.30e+11,
849,J1615-2940,2.477568,1.58e-15,44.79,*,1.717,1.717,2.00e+12,
850,J1615-4958,0.558258,1.46e-15,240.70,*,3.911,3.911,9.14e+11,
851,J1615-5137,0.179278,1.06e-14,*,*,*,*,1.40e+12,
852,J1615-5444,0.360958,3.38e-16,312.60,*,6.883,6.883,3.53e+11,
853,J1615-5537,0.791528,2.00e-15,124.50,*,3.192,3.192,1.27e+12,
854,J1616-5017,0.491384,4.66e-14,194.00,*,3.480,3.480,4.84e+12,
855,J1616-5109,1.219594,1.91e-14,1160.00,*,6.843,6.843,4.88e+12,
856,J1616-5208,1.025831,2.89e-14,488.00,*,6.005,6.005,5.51e+12,
857,J1617+1123,0.894924,3.02e-16,48.61,*,25.000,25.000,5.26e+11,
858,J1617-4216,3.428479,1.82e-14,164.38,*,7.384,7.384,7.98e+12,
859,J1617-4608,0.567080,1.65e-14,321.50,*,11.075,11.075,3.09e+12,
860,J1617-5055,0.069357,1.35e-13,467.00,*,4.743,4.743,3.10e+12,
861,J1618-4723,0.407109,4.06e-15,134.58,*,3.088,3.088,1.30e+12,
862,J1619+3953,1.883798,1.23e-15,23.00,*,2.611,2.611,1.54e+12,
863,J1620-4927,0.171935,1.05e-14,*,*,*,*,1.36e+12,
864,J1620-5414,1.156360,6.74e-17,71.00,*,1.978,1.978,2.82e+11,
865,J1621-5039,1.084029,1.30e-14,264.60,*,3.938,3.938,3.80e+12,
866,J1621-5243,0.371925,7.60e-16,363.39,*,6.442,6.442,5.38e+11,
867,J1622-3751,0.731463,2.57e-15,155.70,*,12.020,12.020,1.39e+12,
868,J1622-4332,0.916939,1.56e-15,230.68,*,9.742,9.742,1.21e+12,
869,J1622-4347,0.457681,5.05e-15,177.00,*,5.039,5.039,1.54e+12,
870,J1622-4802,0.265072,3.14e-16,366.42,*,5.338,5.338,2.92e+11,
871,J1622-4845,0.735092,1.10e-16,292.00,*,4.244,4.244,2.88e+11,
872,J1622-4944,1.072968,1.71e-14,755.00,*,5.412,5.412,4.33e+12,
873,J1622-4950,4.327020,2.78e-12,820.00,*,5.571,5.571,1.11e+14,
874,J1623-0841,0.503015,1.96e-15,59.79,*,4.644,4.644,1.00e+12,
875,J1623-0908,1.276448,2.58e-15,68.22,*,1.670,25.000,1.84e+12,
876,J1623-4256,0.364591,1.01e-15,295.00,*,21.550,21.550,6.13e+11,
877,J1623-4949,0.725762,4.20e-14,181.73,*,3.343,3.343,5.58e+12,
878,J1623-5005,0.085072,4.16e-15,*,*,*,*,6.02e+11,
879,J1624+5850,0.651801,3.31e-16,26.40,*,3.187,3.187,4.70e+11,
880,J1624+8643,0.395763,2.55e-16,46.55,*,9.144,9.144,3.21e+11,
881,J1624-4041,0.167861,4.72e-15,*,*,*,*,9.01e+11,
882,J1624-4411,0.233165,7.99e-16,140.66,*,3.369,3.369,4.37e+11,
883,J1624-4613,0.871243,6.07e-17,224.20,*,4.779,4.779,2.33e+11,
884,J1624-4721,0.448723,4.15e-15,364.00,*,5.633,5.633,1.38e+12,
885,J1625-4048,2.355278,4.43e-16,145.00,*,5.612,5.612,1.03e+12,
886,J1625-4904,0.460339,1.68e-14,684.80,*,5.250,5.250,2.81e+12,
887,J1625-4913,0.355856,6.65e-15,720.00,*,5.296,5.296,1.56e+12,
888,J1626-4537,0.370147,8.29e-15,236.58,*,4.970,4.970,1.77e+12,
889,J1626-4807,0.293928,1.75e-14,817.00,*,7.459,7.459,2.29e+12,
890,J1626-6621,0.450868,7.66e-16,84.11,*,3.815,3.815,5.95e+11,
891,J1627+1419,0.490857,3.93e-16,32.17,*,4.326,4.326,4.44e+11,
892,J1627-4706,0.140746,1.73e-15,456.10,*,6.407,6.407,4.99e+11,
893,J1627-4845,0.612331,3.64e-15,557.80,*,4.880,4.880,1.51e+12,
894,J1627-5547,0.352465,7.36e-16,165.54,*,5.015,5.015,5.15e+11,
895,J1627-5936,0.354234,7.83e-18,99.45,*,3.391,3.391,5.33e+10,
896,J1628+4406,0.181178,1.94e-17,7.33,*,0.537,0.537,6.00e+10,
897,J1628-4804,0.865971,1.24e-15,952.00,*,6.888,6.888,1.05e+12,
898,J1628-4828,4.137539,1.75e-14,1209.00,*,6.725,6.725,8.62e+12,
899,J1629+4636,0.314056,8.51e-17,34.80,*,25.000,25.000,1.65e+11,
900,J1629-3636,2.988193,7.00e-15,101.00,*,4.232,4.232,4.63e+12,
901,J1629-3825,0.526365,4.44e-16,127.69,*,5.555,5.555,4.89e+11,
902,J1630-2609,1.912420,1.57e-15,76.60,*,5.297,5.297,1.75e+12,
903,J1630-4719,0.559081,1.42e-14,487.95,*,5.435,5.435,2.85e+12,
904,J1630-4733,0.575971,2.23e-14,509.30,*,5.044,5.044,3.63e+12,
905,J1631+1252,0.310186,4.03e-17,32.59,*,3.909,3.909,1.13e+11,
906,J1631-1612,0.677684,1.10e-15,33.77,*,0.839,0.839,8.72e+11,
907,J1631-4155,0.551241,8.81e-18,235.00,*,10.801,10.801,7.05e+10,
908,J1631-4722,0.118719,5.56e-14,873.75,*,6.793,6.793,2.60e+12,
909,J1632-1013,0.717637,6.60e-17,89.90,*,10.285,10.285,2.20e+11,
910,J1632-4509,1.046810,1.49e-14,412.00,*,11.496,11.496,3.99e+12,
911,J1632-4621,1.709208,7.59e-14,562.00,*,10.071,10.071,1.15e+13,
912,J1632-4757,0.228569,1.51e-14,574.20,*,4.836,4.836,1.88e+12,
913,J1632-4818,0.813672,6.49e-13,758.00,*,5.308,5.308,2.33e+13,
914,J1633-2009,0.935557,1.07e-15,48.19,*,2.354,2.354,1.01e+12,
915,J1633-4453,0.436507,6.20e-15,472.22,*,14.814,14.814,1.67e+12,
916,J1633-4805,0.710830,7.69e-14,1120.00,*,6.171,6.171,7.48e+12,
917,J1633-5015,0.352145,3.79e-15,399.00,*,6.011,6.011,1.17e+12,
918,J1634-4229,2.015263,8.01e-15,337.90,*,18.861,18.861,4.07e+12,
919,J1634-5107,0.507356,1.57e-15,373.00,*,7.212,7.212,9.04e+11,
920,J1634-5640,0.224201,4.16e-17,147.76,*,5.446,5.446,9.77e+10,
921,J1635+2332,1.208694,8.63e-16,37.57,*,25.000,25.000,1.03e+12,
922,J1635+2418,0.490507,1.19e-16,24.27,*,2.433,2.433,2.45e+11,
923,J1635-1511,1.179387,2.32e-16,54.00,*,1.445,1.445,5.29e+11,
924,J1635-4513,1.594746,3.60e-15,416.00,*,7.735,7.735,2.42e+12,
925,J1635-4944,0.671964,8.79e-15,474.00,*,7.358,7.358,2.46e+12,
926,J1635-5954,0.529123,1.36e-15,134.53,*,7.160,7.160,8.59e+11,
927,J1636-2614,0.510454,4.06e-15,92.72,*,7.839,7.839,1.46e+12,
928,J1636-4440,0.206649,4.67e-14,449.00,*,12.459,12.459,3.14e+12,
929,J1636-4803,1.204644,2.07e-14,503.00,*,4.759,4.759,5.05e+12,
930,J1636-4933,0.430367,1.51e-15,542.70,*,10.229,10.229,8.15e+11,
931,J1637-4335,0.771367,3.62e-15,608.00,*,25.000,25.000,1.69e+12,
932,J1637-4450,0.252870,5.74e-16,468.57,*,11.382,11.382,3.85e+11,
933,J1637-4553,0.118774,3.19e-15,193.66,*,3.446,3.446,6.23e+11,
934,J1637-4642,0.154066,5.94e-14,419.50,*,4.413,4.413,3.06e+12,
935,J1637-4721,1.165741,4.44e-15,448.00,*,4.416,4.416,2.30e+12,
936,J1637-4816,0.837365,5.83e-15,738.00,*,7.355,7.355,2.24e+12,
937,J1638+4005,0.767720,1.83e-16,33.42,*,25.000,25.000,3.79e+11,
938,J1638-3815,0.698261,7.71e-17,239.17,*,19.452,19.452,2.35e+11,
939,J1638-3951,0.771130,5.90e-16,249.00,*,14.679,14.679,6.83e+11,
940,J1638-4233,0.510929,1.01e-14,406.00,*,22.193,22.193,2.30e+12,
941,J1638-4344,1.121944,2.50e-17,237.00,*,4.741,4.741,1.69e+11,
942,J1638-4417,0.117803,1.61e-15,436.13,*,12.026,12.026,4.40e+11,
943,J1638-4608,0.278155,5.15e-14,423.10,*,4.571,4.571,3.83e+12,
944,J1638-4713,0.065740,4.41e-14,1533.00,*,7.538,7.538,1.72e+12,
945,J1638-4725,0.763933,4.79e-15,552.10,MSS,4.742,4.742,1.93e+12,
946,J1638-5226,0.340504,2.65e-15,168.87,*,4.155,4.155,9.60e+11,
947,J1639-1126,1.430695,2.42e-15,103.80,*,6.275,6.275,1.88e+12,
948,J1639-4359,0.587559,1.50e-17,258.90,*,4.892,4.892,9.50e+10,
949,J1639-4604,0.529121,5.77e-15,257.36,*,3.780,3.780,1.77e+12,
950,J1640-4631,0.206443,9.76e-13,*,*,12.750,*,1.44e+13,
951,J1640-4648,0.178352,8.06e-16,474.00,*,4.469,4.469,3.84e+11,
952,J1640-4715,0.517445,4.21e-14,586.32,*,4.905,4.905,4.72e+12,
953,J1640-4951,0.739099,3.34e-16,407.40,*,9.675,9.675,5.03e+11,
954,J1641-2347,1.091008,4.11e-17,27.70,*,0.922,0.922,2.14e+11,
955,J1641-5317,0.175106,3.70e-15,*,*,*,*,8.15e+11,
956,J1643+1338,1.099047,7.78e-16,35.82,*,4.641,4.641,9.36e+11,
957,J1643-4505,0.237390,3.18e-14,478.60,*,4.738,4.738,2.78e+12,
958,J1643-4522,1.347899,8.28e-15,482.00,*,4.615,4.615,3.38e+12,
959,J1643-4550,0.717528,3.00e-14,450.18,*,4.377,4.377,4.69e+12,
960,J1644-4559,0.455078,2.01e-14,478.66,*,4.500,4.437,3.06e+12,
961,J1644-4657,0.125962,7.50e-16,718.00,*,6.747,6.747,3.11e+11,
962,J1645+1012,0.410861,8.13e-17,36.17,*,3.915,3.915,1.85e+11,
963,J1645-0317,0.387692,1.78e-15,35.76,*,4.000,1.326,8.41e+11,
964,J1646-1910,4.817736,1.00e-14,55.00,*,2.616,2.616,7.03e+12,
965,J1646-4308,0.840680,1.10e-16,595.00,*,16.162,16.162,3.08e+11,
966,J1646-4346,0.231603,1.13e-13,490.40,*,6.224,6.224,5.17e+12,
967,J1646-4545,0.431784,2.78e-16,1029.00,*,6.029,6.029,3.50e+11,
968,J1646-5123,0.530075,2.10e-15,279.00,*,10.974,10.974,1.07e+12,
969,J1646-6831,1.785614,1.70e-15,41.92,*,1.217,1.217,1.76e+12,
970,J1647+6608,1.599798,7.84e-15,22.55,*,2.061,2.061,3.58e+12,
971,J1647+6609,1.599799,7.85e-15,22.55,*,2.061,2.061,3.59e+12,
972,J1647-3607,0.212316,1.29e-16,228.50,*,16.873,16.873,1.67e+11,
973,J1647-4552,10.610656,8.33e-13,*,*,*,*,9.51e+13,
974,J1648-3256,0.719458,3.52e-15,128.28,*,6.730,6.730,1.61e+12,
975,J1648-4458,0.629632,1.85e-15,925.00,*,5.518,5.518,1.09e+12,
976,J1648-4611,0.164966,2.37e-14,393.20,*,4.467,4.467,2.00e+12,
977,J1648-6044,0.583765,4.33e-16,106.26,*,5.567,5.567,5.09e+11,
