#,PSRJ,P0,P1,DM,BINARY,DIST,DIST_DM,BSURF,
2269,J2104+2830,0.405729,9.75e-17,62.16,*,5.735,5.735,2.01e+11,
2270,J2105+6223,2.304879,5.22e-15,50.75,*,2.723,2.723,3.51e+12,
2271,J2108+4441,0.414871,8.62e-17,139.83,*,4.346,4.346,1.91e+11,
2272,J2108+4516,0.577231,4.37e-15,83.54,DD,3.268,3.585,1.61e+12,
2273,J2108+5001,0.244461,9.14e-15,482.30,*,25.000,25.000,1.51e+12,
2274,J2108-3429,1.423105,3.50e-15,30.22,*,3.831,3.831,2.26e+12,
2275,J2111+2106,3.953853,3.24e-15,59.30,*,8.410,8.410,3.62e+12,
2276,J2111+2132,1.059532,4.60e-16,78.60,*,25.000,25.000,7.07e+11,
2277,J2111+4606,0.157830,1.43e-13,*,*,*,*,4.81e+12,
2278,J2112+0740,0.275361,6.09e-17,24.91,*,2.101,2.101,1.31e+11,
2279,J2112+4058,4.060755,6.99e-15,129.00,*,5.162,5.162,5.39e+12,
2280,J2113+2754,1.202852,2.62e-15,25.11,*,1.420,1.869,1.80e+12,
2281,J2113+4644,1.014685,7.15e-16,141.26,*,2.200,4.122,8.62e+11,
2282,J2115+6702,0.552122,1.68e-16,54.50,*,2.862,2.862,3.08e+11,
2283,J2116+1414,0.440153,2.89e-16,56.20,*,25.000,25.000,3.61e+11,
2284,J2116+3701,0.145884,5.27e-15,44.03,*,2.853,2.853,8.87e+11,
2285,J2118+5143,0.370223,3.47e-14,146.30,*,3.834,3.834,3.63e+12,
2286,J2122+2426,0.541421,1.27e-16,8.50,*,0.585,0.585,2.65e+11,
2287,J2123+5434,0.138868,1.74e-19,31.76,*,1.811,1.811,4.97e+09,
2288,J2124+1407,0.694054,7.68e-16,30.25,*,2.807,2.807,7.39e+11,
2289,J2127-6648,0.325772,2.25e-16,35.93,*,25.000,25.000,2.74e+11,
2290,J2129+1210B,0.056133,9.55e-18,67.73,*,10.710,25.000,2.34e+10,
2291,J2129+1210C,0.030529,4.99e-18,67.13,DD,10.710,25.000,1.25e+10,
2292,J2129+1210G,0.037660,1.63e-18,66.40,*,10.710,25.000,7.94e+09,
2293,J2129+1210K,1.928451,1.18e-15,66.50,*,25.000,25.000,1.53e+12,
2294,J2129+1210L,3.960716,8.74e-14,66.10,*,25.000,25.000,1.88e+13,
2295,J2129+4119,1.687418,8.54e-17,32.00,*,2.098,2.098,3.84e+11,
2296,J2136-1606,1.227235,1.48e-17,18.48,*,1.740,1.740,1.36e+11,
2297,J2136-5046,0.267322,8.69e-17,23.30,*,2.248,2.248,1.54e+11,
2298,J2137+6428,1.750989,3.43e-15,106.00,*,3.762,3.762,2.48e+12,
2299,J2139+2242,1.083514,1.42e-15,44.16,*,4.933,4.933,1.26e+12,
2300,J2139+4716,0.282849,1.79e-15,*,*,*,*,7.19e+11,
2301,J2143+0654,9.428229,4.09e-14,*,*,*,*,1.99e+13,
2302,J2144-3933,8.509827,4.96e-16,3.35,*,0.160,0.289,2.08e+12,
2303,J2149+6329,0.380140,1.68e-16,129.72,*,2.800,3.885,2.56e+11,
2304,J2150+3427,0.654280,3.60e-18,55.48,DD,4.812,4.812,4.91e+10,
2305,J2150+5247,0.332206,1.01e-14,148.93,*,3.610,3.610,1.85e+12,
2306,J2151+2315,0.593534,7.08e-16,20.92,*,1.620,1.620,6.56e+11,
2307,J2151+5128,1.051903,9.00e-17,203.50,*,4.822,4.822,3.11e+11,
2308,J2154-2812,1.343361,6.13e-16,33.00,*,25.000,25.000,9.18e+11,
2309,J2155+2813,1.609020,9.16e-16,77.13,*,25.000,25.000,1.23e+12,
2310,J2155-3118,1.030003,1.24e-15,14.94,*,1.293,1.293,1.14e+12,
2311,J2155-5641,1.373654,4.23e-15,14.00,*,1.043,1.043,2.44e+12,
2312,J2156+2618,0.498149,1.42e-17,48.44,*,6.102,6.102,8.51e+10,
2313,J2157+4017,1.525266,3.43e-15,71.12,*,2.900,4.776,2.32e+12,
2314,J2158-2734,0.477198,7.42e-17,22.18,*,2.678,2.678,1.90e+11,
2315,J2159+0202,0.665561,6.01e-16,34.97,*,25.000,25.000,6.40e+11,
